address,staked,unstaked,regen-bal,osmo-bal,regen-total,osmo-total,atom-bond,osmo-bond,atom-total,atom-bal,luna-bal,juno-bal,btsg-bal,xprt-bal,xki-bal,ust-bal,cmdx-bal,akt-bond,juno-bond,btsg-bond,xprt-bond,xki-bond,ust-bond,cmdx-bond,luna-total,akt-total,juno-total,btsg-total,xprt-total,xki-total,ust-total,cmdx-total,cro-bal,cro-bond,cro-total,luna-bond,akt-bal,iris-bal,ion-bal,regen-bond,iris-bond,ion-bond,iris-total,ion-total,scrt-bal,ngm-bal,eeur-bal,ngm-bond,eeur-bond,scrt-total,ngm-total,eeur-total,dvpn-bal,dvpn-bond,dvpn-total,scrt-bond,med-bal,like-bal,med-total,like-total,med-bond,bcna-bal,bcna-bond,bcna-total,like-bond,iov-bal,iov-total,krt-bal,krt-total,cheq-bal,ixo-bal,cheq-total,ixo-total,ixo-bond,tick-bal,tick-total,mBOOT-bal,mBOOT-total,iov-bond,mBOOT-bond,cheq-bond,stars-bal,stars-total
osmo1hpuq3zmayzpyhew2vxmpnz8fp7m5te9tysfnew,176.819465000,0.000000000,0.000000000,67.670522000,0.000000000,580.095499000,155.757637000,335.605512000,155.808633000,0.050996000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,713.327867000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,713.327867000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001000,0.000000000,0.000000000,0.755916000,0.000000000,0.755917000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1hqhjjqum6c5yjj2c88qq8qw0j9vktzrugwm59e,2020.000000000,0.000000000,0.000000000,0.104149000,0.000000000,2045.953808000,0.000000000,25.849659000,0.000000000,0.000000000,0.000000000,30.814505000,0.000000000,0.000000000,0.000000000,0.000000000,4763.984128000,0.000000000,12.176610000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,42.991115000,0.000000000,0.000000000,0.000000000,0.000000000,4763.984128000,0.638442730,14.525507250,15.163949980,0.000000000,0.000000000,0.000000000,0.255835000,0.000000000,0.000000000,0.000000000,0.000000000,0.255835000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1hrjtw846eqqrxa5cvk2zye8qyapgcrnmpt67h2,0.000000000,0.000000000,0.000000000,11.674451000,0.000000000,11.674451000,51.008135000,0.000000000,51.322230000,0.314095000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,79023.767176000,26.923781000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,587.455191000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,79023.767176000,614.378972000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000005000,0.000000000,0.000000000,0.000000000,0.000000000,0.000005000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1hrt8xk5k8sg45h5c3py7dawwez9cs49xr2xg2f,1471.000000000,0.000000000,0.000000000,0.000000000,241.588401000,2729.807013000,167.875057000,1258.807013000,167.875057000,0.000000000,0.000000000,0.000000000,0.000000000,0.000010000,0.000000000,0.000000000,0.000000000,589.434245000,0.000000000,0.000000000,119.085922000,0.000000000,0.000000000,0.000000000,0.000000000,589.434246000,0.000000000,0.000000000,119.085932000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001000,0.000000000,0.000044000,241.588401000,0.000000000,0.165368000,0.000000000,0.165412000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,163.866953000,23646.582108000,23810.449061000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1hs6kwza9jv7fn567a062qq0jj8qxfys0s7xtsp,0.000000000,0.000000000,0.000000000,0.127491000,0.000000000,0.270183000,0.020390000,0.142692000,0.024568000,0.004178000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000001000,0.000000000,0.000000000,0.000159000,0.000000000,0.000160000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1hsl70gvlljx63rezwl5ya43lh4hm4dgtuuaw9s,4909.000000000,0.000000000,0.887789000,715.061052000,406.921211000,7529.196750000,325.708217000,1905.135698000,325.708217000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,387.835168000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,392.918064000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5.082896000,0.000000000,1.000000000,406.033422000,0.000000000,0.000000000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1hsm22ruu6kk0f7xzjrhtq4605lrrpdfw3lfzw5,1600.000000000,0.000000000,0.000000000,40.378291000,0.000000000,1902.691461000,0.000000000,262.313170000,0.000000000,0.000000000,0.000000000,1.822361000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,39.792291000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,41.614652000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.740296000,0.000000000,0.740296000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.860293000,0.000000000,0.860293000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1ht3g7myhc33mldadkagctwpz55tkhxnz7vzttu,0.000000000,0.000000000,0.000000000,0.406596000,0.000000000,0.406596000,5.524331000,0.000000000,5.524333000,0.000002000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.044450000,0.000000000,0.000000000,0.000000000,0.000000000,0.044450000,0.059621000,0.000000000,0.000000000,0.000000000,0.000000000,30.180506000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,30.120885000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1ht7mzvj64s2wxr66yezh7l0h474rt3w90cqlqd,1653.000000000,0.000000000,0.000000000,4.436297000,20.224455000,1957.951331000,12.224562000,300.515034000,12.224562000,0.000000000,0.000000000,0.104277000,0.000000000,0.000000000,0.000018000,0.000000000,1.358760000,99.934617000,18.415991000,0.000000000,19.765189000,222.693512000,1943.167319000,12.267298000,45.202534000,99.934617000,18.520268000,0.000000000,19.765189000,222.693530000,1943.167319000,13.626058000,0.000000000,0.000000000,0.000000000,45.202534000,0.000000000,0.000000000,0.012703000,20.224455000,0.000000000,0.000000000,0.000000000,0.012703000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,92.674563000,11248.865600000,11341.540163000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,11.425672000,159.590743000,171.016415000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
osmo1htcn3e2e8a2fezukmf4g777cg0e24jleu8l9zf,120.000000000,0.000000000,1.042387000,7.391462000,1.042387000,189.239090000,1.854058000,61.847628000,1.966142000,0.112084000,1.331411000,2.292907000,11.766726000,5.455790000,24.771420000,8.589897000,2.513587000,21.223730000,5.615266000,0.000000000,0.000000000,0.000000000,0.000000000,12.485961000,1.331411000,21.228947000,7.908173000,11.766726000,5.455790000,24.771420000,8.589897000,14.999548000,3.290719930,0.000000000,3.290719930,0.000000000,0.005217000,0.000017000,0.010038000,0.000000000,2068.589746000,0.000000000,2068.589763000,0.010038000,0.846229000,4.645781000,5.623610000,0.000000000,0.000000000,8.519278000,4.645781000,5.623610000,69.002210000,0.000000000,69.002210000,7.673049000,74.517036000,252.226397967,74.517036000,252.226397967,0.000000000,34.750281000,0.000000000,34.750281000,0.000000000,59.808915000,59.808915000,3396.887356000,3396.887356000,16.117044339,2.167817000,16.117044339,2.167817000,0.000000000,0.973507000,0.973507000,18.883156000,18.883156000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
