,voter,vote,weight
69,osmo1qtwvnlyugq73w3rsjftg20rtflmpvsz2aazjwm,NO,620574972
70,osmo1qtwlq5d34a4rl3u2cnvttu5zkh62v9vakeehye,YES,0
71,osmo1qtk9vgdz6t20vzcrsawnvvx7lqgtpz89njapks,YES,0
72,osmo1qtut300t4az2xfd6e4aywvd8u80szzwktkugqx,YES,1054700000
73,osmo1qtl3p007vd9zz7ws8xj9vyjt5x7elg7cc4vjzp,YES,12500000000
74,osmo1qvcuagcjvqcxpavrr8j9a26apkjmjk8gx8s63h,ABSTAIN,84613580
75,osmo1qvmpf9y7g8hqu68f5mq5w9fkdkjkv5jw34uj5v,YES,63000000
76,osmo1qdqugux70urprryke4vvrn9grz0hw7acuru0yv,NO,6173000000
77,osmo1qdrvm7l9xu8xmrel5yz9nd647hyvrwagyr47mx,YES,51681269
78,osmo1qd463kzgk73cpk9ywl3jhvn4v4uwlwd3pvtwqw,YES,4625000000
79,osmo1qde7dh7d8yp2ztcyupy048kaf8854g5gw5emza,YES,0
80,osmo1qdarp3xkhpsv8d8fssdg5m8544e8emzg52q4sj,NO,53263964
81,osmo1qwr7dfpsjjdlezjmqwklhqndmd0u7rscdcwzgu,NO,2100000
82,osmo1qwypuls3nzxjh3ks46kgcp7yfzseegfgr4yu2d,ABSTAIN,8415606
83,osmo1qwxwkn4leawvkft2wm9pt9dzektcmafx4wxp7x,YES,1200000
84,osmo1qw2zs6u32ynmk6f57h93rl0rp9guu92peywgxu,YES,1812550000
85,osmo1qwjzpda94a5ewa5r5ky6p8reffzu5dmu3aafdy,VETO,663800000
86,osmo1qw54x9zqs8f6vwnt3p6udvla23dfw83g4mvpn8,NO,18065030
87,osmo1qwc70zrau90c5tj8pp0zzreklgvfem8v8tzql3,ABSTAIN,398891199
88,osmo1qwmuq7wlspvfextwqaqs836wq48nqm3yzf27v7,NO,361297156
89,osmo1q0r5ell5rfj7t9ndpa7975zz82ghfsh8m6stnt,ABSTAIN,0
90,osmo1q09q6lkwafscqfkawy26ydde32ytcpj9zerexa,YES,53660
91,osmo1q0tnhvjuazges9j46mfpr5rvvhtafdjwa8nmvx,YES,8458000000
92,osmo1q0sx5vvussgdjn29sjp2gg924tzj0a0k4e2uq9,YES,106500000
93,osmo1q03dkq0ph6k7zgevws7c08lxdj6fhz9d83gpum,YES,726000000
94,osmo1q0k3zstemzx0k5x7v7jz8zwcu7qqyzysre0qux,YES,31410153
95,osmo1q0hxc6xp82nz7gxl9j83gps49s2ygklfhzljfv,ABSTAIN,375285250
96,osmo1q0h3ht2j9m5sgaclmyqxyxdlhc4xysz79yh4zf,YES,2864300000
97,osmo1q0euqhxkrvxf07y6daer2ugq6t6prd9qnd8jlx,VETO,25135377
98,osmo1q0ayld7t4vq9rg6mmjx64pr7dc99l677uqqxue,YES,80000005
99,osmo1qsrxnzpavxqc2jqlkeyl3374svvclg4leje0t2,YES,1424434388
100,osmo1qsr8tgynj69dmngrt34uaxtkuy0ylqhs2l2myf,ABSTAIN,11200000
101,osmo1qstyuhm0egx82pne6evqlw09m6dyv2m7r3cxv9,YES,35200000
102,osmo1qsjr57puxhp228e85g4s4k95nykg86ya2gh5hs,YES,305000000
103,osmo1qsherdr7utmulqkwjmhyyt0nqhx42jjgxaj55n,YES,215000000
104,osmo1qshlyrzqp00q39j8f6p2egk5zwj8r3kh7a686j,YES,1100000
105,osmo1qscln246qfn2h0xghpawv3pwpkh76hh4xcmsry,YES,10856269
106,osmo1q3qwrehwd63u903xwa27yhpndn3y0mgz0d2x9z,NO,0
107,osmo1q32ujeulg4umjs5lxjcc62zv8l7565r9c6auly,YES,62138462
108,osmo1q3jzdg4fmqtggac8zx7dfcrz6uukvccxu620sk,NO,347663336
109,osmo1q3k0h4axh5mnh47sp7keqea38ygyt77hyq63q4,YES,0
110,osmo1q37qp8s9juywyxtwwu4mdqrjjmfwwrzmjn2s8f,YES,789697843
111,osmo1q37q3jhvuekamdac7wyj7mkclpwqle693gz5z0,YES,142470671
112,osmo1qjq3c5gx6az9ymmkda28yjvk86a04vuslsgurx,YES,100800000
113,osmo1qjpeh6ap3t7ztez7tw23wg74jcv2ffgs36s8hs,YES,3022395468
114,osmo1qjvv7e6en62r6f57zkv7ar0dr9gkg4g7cg0dg3,NO,0
115,osmo1qj0d8jzlqkueldzmvz9yxdzvzheacytl5fhhta,YES,0
116,osmo1qjszucl3nx7y2nsyjfekpuhw7d90kcht8nlrj2,YES,430775532
117,osmo1qjeh9mgm6amtgasdm0ek6r5wmnhfqg0zvtgwtk,YES,1108389547
118,osmo1qj6xfjsgdjrws99h7qke2z0k3vhf584l895rv5,VETO,10000
119,osmo1qjmezhqgul3k9cz7j55d7kfse0cjxxjle9nfc0,YES,0
120,osmo1qnqqj4hwzfjsma2ut0j0rqm823tefj3a55qdgd,YES,46166997
121,osmo1qnqwxazzha6lsx2rs2gewu2337uha5lz5uf2yt,YES,517250000
122,osmo1qn0t9xukxlqjl5w8hfjd60zucnm294uutpxf4c,ABSTAIN,300000000
123,osmo1qn0d8m5s8k5e6ym5lu05g7xaj2zf8y576hn5cl,NO,350000000
124,osmo1qn4t0qw4879rckmwp5cx4fsnhmuj48wxxgtdhq,VETO,150000000
125,osmo1qn6clt2v2mdr4yufcgdtreq7a8ra0pn6lvutr4,YES,7279494
126,osmo1qnalt9fjvlckrrmqhqm7qc5u4qpt4cz73a5um8,YES,0
127,osmo1q5r883azzh0n7v377h6ehv87y7xm5yldtvxe3u,ABSTAIN,9000000000
128,osmo1q5wva3rd2sk8alhkg0v4yzc2cw8d8920g5cjam,VETO,200000000
129,osmo1q50hkqt3lx3d9lpsj523n0qj3epr9hfsjdvwlz,YES,51000000
130,osmo1q5j8am95lgsvp02kjl36j0wufhktxtup2g29tm,VETO,206303317
131,osmo1q4fxpajzfz64lm93vr7tg5g0752hhmgear8f6e,ABSTAIN,10000000000
132,osmo1q4tw2mppg0pgklhe5szyjudn8sqssc8ngn4a6a,YES,138510932
133,osmo1q4v5ehz3282qzrd4ratvsau2ev9wgpelu99q68,NO,111386955
134,osmo1q4wh6n5l8lqne50tqjuessku3aqfa0dyptkc8e,YES,60000000
135,osmo1q4uv8ttskfvs6njukuye7hhsq9z9ppnf7wwvnq,YES,0
136,osmo1q4aqfap6cymfzf696yfkdgt5defehkum2trljj,NO,99903908
137,osmo1qkr2fsg3hdj0v2thxrl4yd0messfrm6lu2f9az,YES,0
138,osmo1qkfmakm3h97uafajfwx24lecafl5e8s5a3449y,NO,0
139,osmo1qk3ajusk97cs86c34rkuztkh8rtk6jlflsw8y6,NO,0
140,osmo1qkjqu3cwns4z6thya46grap7fm8xeuqxajk7v8,VETO,0
141,osmo1qk54hwm23xu72cs5rakjz9y6v9lwarf6q72lxz,YES,50138829
142,osmo1qhsswvh04kv7a55jxe3ugskkmzf7tv8ypvrtjm,YES,24228109
143,osmo1qhmh68tw2ezmu5nvt5fzx0ctwkglfex4ecvyfj,VETO,70638467
144,osmo1qc99y4t293llhaukk6lq74cq8ul38e9djqyrlu,NO,0
145,osmo1qcta3ksq050jnqvw0md7ezla85w4qry4kma449,YES,8000327396
146,osmo1qctl9sg55elatee0g6rahkzuylcrfd5hh8xtnr,YES,466134172
